"Nid","Title","theme camp","Activity Categories","Long Blurb for website / app","Scheduled activities","Short blurb for the WTF Guide","Type","latitude","longitude","Infustructure"
"139","Loki","","","Loki - 4.0 - AfrikaBurn's Shape-Shifting Mutant Rhino Sound Rig.
'Nuff said... We think so.","","Loki - 4.0 - AfrikaBurn's Shape-Shifting Mutant Rhino Sound Rig.
'Nuff said... We think so.","Mutant Vehicles","","",""
"138","The Watering Hole ","","","","","","Artwork Registration","","",""
"137","RAVIATION","","","","","","Artwork Registration","","",""
"132","Yggdrasil, Tree of Life","","","","","","Artwork Registration","-32.3286000000","19.7416000000",""
"130","Molly the Mollusc","","","You may have met Molly before, so keep a beady eye out for this "" Monocular ""  creature , SHE""S got her eye open for YOU .
Take a slither around Binnekring at snails-pace ,of course , you never know what a snail might sniff out !! ","","You may have met Molly before, so keep a beady eye out for this "" Monocular ""  creature , SHE""S got her eye open for YOU .
Take a slither around Binnekring at snails-pace ,of course , you never know what a snail might sniff out !! 
","Mutant Vehicles","","",""
"128","Yellow Submarine","","","The new BLA (Botriver Liberation Army) new amphibian stealth submarine, will be broadcasting radio Tankwa while transporting our fabulous revolutionaries around the playa.Will give lifts to anything hot, naked and still breathing. Long live el Presidente! Long live BLA! There's no Government like no Government! The only good system is a sound system! Sabotage the system! Trying to keep the binnekring honest!","","The new BLA (Botriver Liberation Army) new amphibian stealth submarine, will be broadcasting radio Tankwa while transporting our fabulous revolutionaries around the playa.Will give lifts to anything hot, naked and still breathing. Long live el Presidente! Long live BLA! There is no Government like no Government! The only good system is a sound system! Sabotage the system! Trying to keep the binnekring honest!","Mutant Vehicles","","",""
"126","Ascension | Rising in Love","","","","","","Artwork Registration","","",""
"124","B.U.G.","","","B.U.G.","","B.U.G.","Mutant Vehicles","","",""
"123","The Zebra","","","The Zebra was born in Dusty Mpumalanga just in time to see his First Burn, it inspired him to go to more events like it... But first he needed a makeover, a bit of bling, something flashy you understand?
So he sought out some local artists and volunteers and pleaded with them to help his cause - how will he turn out? You'll have to spot him on your way to the shops, or perhaps to work? But WE heard a secret... The Zebra has a ticket to AfrikaBurn play... Will you see him there? 
#PhotosOrItDidntHappen ","","The Zebra has started his migration, and we're told he has his ticket to AfrikaBurn Play... Will you spot him there?","Mutant Vehicles","","",""
"120","The Scallywag Saloon ","","","","","","Artwork Registration","","",""
"119","Young Love","","","","","","Artwork Registration","","",""
"115","Limitless Slip Dome","","","","","","Artwork Registration","","",""
"113","The Rocking Ranch","","","","","","Artwork Registration","","",""
"110","Run Aground","","","","","","Artwork Registration","","",""
"109","Makhulukhulu","","","","","","Artwork Registration","","",""
"107","You're Normal","","","Want to dig up memories as deep-seated as a remote control in a sofa? Looking for the carpet you’ve been sweeping your personal MOOP under all these years? Or is there just dust in your crack the light’s meant to come through?
 
Well look no further than the Shitty-Shitty Bang-Bang of the Badlands! The Room With Some Dudes who want to make you mentally HG Wells! Putting “dynamic” back into psychodynamic and helping you truly MOVE ON, it’s the Tankwa’s first mobile psychiatric consultancy: YOU’RE NORMAL. 
 
Step 1: into YOU’RE NORMAL (just show your Id at the door). 
Step 2: put your thoughts to our panelled experts. 
Step 3: they will provide a diagnosis couched in euphemism and anal-stage humour. 
 
Don’t be an Oedipoes. Roll with it.","","Want to dig up memories as deep-seated as a remote control in a sofa? Looking for the carpet you’ve been sweeping your personal MOOP under all these years? Or is there just dust in your crack the light’s meant to come through?
 
Well look no further than the Shitty-Shitty Bang-Bang of the Badlands! The Room With Some Dudes who want to make you mentally HG Wells! Putting “dynamic” back into psychodynamic and helping you truly MOVE ON, it’s the Tankwa’s first mobile psychiatric consultancy: YOU’RE NORMAL. 
 
Step 1: into YOU’RE NORMAL (just show your Id at the door). 
Step 2: put your thoughts to our panelled experts. 
Step 3: they will provide a diagnosis couched in euphemism and anal-stage humour. 
 
Don’t be an Oedipoes. Roll with it.","Mutant Vehicles","","",""
"105","Childs Play in the Wind","","","","","","Artwork Registration","","",""
"104","Test by Alastair","","","","","","Artwork Registration","","",""
"103","SKY PLAY","","","","","","Performance Registration","","",""
"102","SKY PLAY","","","","","","Artwork Registration","","",""
"101","Unlikely Friends","","","","","","Artwork Registration","","",""
"99","Wonderville","","","","","","Artwork Registration","","",""
"97","D'lightfull Tower","","","","","","Artwork Registration","","",""
"96","Weathervane II","","","","","","Artwork Registration","","",""
"94","Brandbeest","","","The BrandBeest is a Theo Jansen inspired, pedal powered mutant vehicle. The Beest depicts how individual, simple pieces, working together can create a large complex system, yet sustainable system. With its 12 individual legs the Beest can stride across the desert terrain leaving nothing much a few small footprints; a metaphor of Afrikaburn and how humans, coming together can create sustainable systems which leave behind no trace.","","The BrandBeest is a Theo Jansen inspired, pedal powered mutant vehicle. With its 12 individual legs and simplistic design, it provides a metaphor for how simple elements can come together to create a complex and dynamic, yet graceful life form; much the way we all come together to create the burn.","Mutant Vehicles","","",""
"93","Let's Go Party - Barbie Jeep","","","Let's Go Party will be the 7th version of the Moo (our little Suzuki Jeep), that has been Metastofasis' faithful AB transport towing her enormous trailer.","","Let's Go Party rides the playa (even playa has PLAY in it)","Mutant Vehicles","","",""
"92","The Pangolin","","","The pangolin mutant vehicle draws attention to the plight of one of the most hunted creatures on the planet. While they are illegal to trade these poor mammals the most trafficked animal on earth, with some estimates claiming that sales now account for up to 20 per cent of the entire wildlife black market.  Save the pangolin!","","The pangolin mutant vehicle draws attention to the plight of one of the most hunted creatures on the planet. While they are illegal to trade these poor mammals the most trafficked animal on earth, with some estimates claiming that sales now account for up to 20 per cent of the entire wildlife black market.  Save the pangolin!","Mutant Vehicles","","",""
"91","Artvark Sunset Lounge","","","","","","Artwork Registration","","",""
"85","Burning Voice","","","","","","Performance Registration","","",""
"84","It's only a game boy","","","It is only a game boy! Not so super Mario, Moshi, and the rest of the crew are waiting to get special dusty with you. Princesses, Italian plumbers, and toadstool lovers will fit right in!","","It is only a game boy! Not so super Mario, Moshi, and the rest of the crew are waiting to get special dusty with you.","Mutant Vehicles","","",""
"80","Guinea Pig","","","","","","Artwork Registration","","",""
"79","Mutant Patrol","","","Do not print","","Do not print","Mutant Vehicles","","",""
"69","Please Wave","","","","","","Artwork Registration","","",""
"67","The Washing Line","","","","","","Artwork Registration","","",""
"66","The Organ Player","","","","","","Artwork Registration","","",""
"65","The Mighty Megalodon","","","","","","Artwork Registration","","",""
"59","Skull Car","","","Fuck off.  No Long Blurb.  DMV insists.","","We are a rag tag bunch of reprobates trying to get recognition and noone wants to fucking listen","Mutant Vehicles","","",""
"56","Theophany","","","","","","Artwork Registration","","",""
"11","pu_mv_name","","","pu long blurb","","pu short blurb","Mutant Vehicles","","",""
